control_id,family,nist_req_id,title,classification,pilot_status,pilot_status_basis,owner_role,implementation_domain,responsibility,inheritance_source,evidence_location,evidence_regeneration,auditor_requirement
CM.L2-3.4.2,CM,3.4.2,Security configuration settings,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.2\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,"Show: Security-relevant baseline snapshot (systeminfo.txt, lsa.txt, firewall.txt, schannel-protocols.txt, secpol.cfg). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.2\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has..."
CM.L2-3.4.3,CM,3.4.3,Change control,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CM.L2-3.4.3\,Version-controlled docs + approval record,Show: Policy/SOP records supporting CM 3.4.3. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CM.L2-3.4.3\. Regenerate: Version-controlled docs + approval record
CM.L2-3.4.4,CM,3.4.4,Security impact analysis,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\CM.L2-3.4.4\,Version-controlled docs + approval record,Show: Policy/SOP records supporting CM 3.4.4. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\CM.L2-3.4.4\. Regenerate: Version-controlled docs + approval record
CM.L2-3.4.5,CM,3.4.5,Change access restrictions,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.5\,Run verification; capture outputs; hash; store,Show: Windows baseline export + drift verification outputs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.5\. Regenerate: Run verification; capture outputs; hash; store
CM.L2-3.4.6,CM,3.4.6,Least functionality,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.6\,Run verification; capture outputs; hash; store,Show: Windows baseline export + drift verification outputs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.6\. Regenerate: Run verification; capture outputs; hash; store
CM.L2-3.4.7,CM,3.4.7,Restrict nonessential programs,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.7\,Run verification; capture outputs; hash; store,Show: Windows baseline export + drift verification outputs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.7\. Regenerate: Run verification; capture outputs; hash; store
CM.L2-3.4.8,CM,3.4.8,Software restriction policy,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.8\,Run verification; capture outputs; hash; store,Show: Windows baseline export + drift verification outputs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.8\. Regenerate: Run verification; capture outputs; hash; store
CM.L2-3.4.9,CM,3.4.9,Control user-installed software,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.9\,Run verification; capture outputs; hash; store,Show: Windows baseline export + drift verification outputs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\CM.L2-3.4.9\. Regenerate: Run verification; capture outputs; hash; store
IA.L2-3.5.1,IA,3.5.1,Identify users,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Identity is VM+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.1\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Local account inventory snapshot (local-accounts.txt) + local admin membership (local-admins.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.1\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
IA.L2-3.5.10,IA,3.5.10,Cryptographically-protected passwords,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Identity is VM+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.10\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.10\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.11,IA,3.5.11,Obscure authentication feedback,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.11\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.11\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.2,IA,3.5.2,Authenticate users,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Identity is VM+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.2\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.2\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.3,IA,3.5.3,MFA for privileged accounts,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,entra_tenant,shared,Microsoft Entra ID (tenant controls),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.3\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.3\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.4,IA,3.5.4,Replay-resistant authentication,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,entra_tenant,shared,Microsoft Entra ID (tenant controls),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.4\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.4\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.5,IA,3.5.5,Prevent identifier reuse,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,entra_tenant,shared,Microsoft Entra ID (tenant controls),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.5\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.5\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.6,IA,3.5.6,Disable identifiers after inactivity,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,entra_tenant,shared,Microsoft Entra ID (tenant controls),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.6\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.6\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.7,IA,3.5.7,Password complexity,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.7\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Local account policy snapshot (account-policy.txt) — informational for local policy. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.7\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
IA.L2-3.5.8,IA,3.5.8,Prohibit password reuse,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.8\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.8\. Regenerate: Export policy JSON + logs; hash; store
IA.L2-3.5.9,IA,3.5.9,Temporary passwords,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Identity is VM+Entra (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.9\,Export policy JSON + logs; hash; store,Show: Entra Conditional Access/MFA policy export + sign-in logs. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\IA.L2-3.5.9\. Regenerate: Export policy JSON + logs; hash; store
IR.L2-3.6.1,IR,3.6.1,Operational incident-handling capability,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.1\,Export incident/ticket records; hash; store,Show: Incident log + IR test report (annual) + escalation/ticket records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.1\. Regenerate: Export incident/ticket records; hash; store
IR.L2-3.6.2,IR,3.6.2,"Track, document, and report incidents",Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.2\,Export incident/ticket records; hash; store,Show: Incident log + IR test report (annual) + escalation/ticket records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.2\. Regenerate: Export incident/ticket records; hash; store
IR.L2-3.6.3,IR,3.6.3,Test incident response capability,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,ISSO,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.3\,Export incident/ticket records; hash; store,Show: Incident log + IR test report (annual) + escalation/ticket records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\IR.L2-3.6.3\. Regenerate: Export incident/ticket records; hash; store
MA.L2-3.7.1,MA,3.7.1,Perform maintenance,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.1\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.1\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
MA.L2-3.7.2,MA,3.7.2,Controls on maintenance tools,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.2\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.2\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
MA.L2-3.7.3,MA,3.7.3,Sanitize equipment for off-site maintenance,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for MA 3.7.3. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
MA.L2-3.7.4,MA,3.7.4,Check maintenance media,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for MA 3.7.4. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
MA.L2-3.7.5,MA,3.7.5,MFA for nonlocal maintenance,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,entra_tenant,shared,Microsoft Entra ID (tenant controls),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.5\,Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and role assignments per docs/EVIDENCE_RUNBOOK.md; hash + store,Show: VM session config + Entra sign-in logs + role assignments (VPN + RDP access path). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MA.L2-3.7.5\. Regenerate: Run Collect-Cui-Evidence.ps1; export Entra sign-in logs and ...
MA.L2-3.7.6,MA,3.7.6,Supervise maintenance personnel,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\MA.L2-3.7.6\,Version-controlled docs + approval record,Show: Policy/SOP records supporting MA 3.7.6. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\MA.L2-3.7.6\. Regenerate: Version-controlled docs + approval record
MP.L2-3.8.1,MP,3.8.1,Protect system media,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.1\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.1\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.2,MP,3.8.2,Limit access to CUI on media,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.2\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.2\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.3,MP,3.8.3,Sanitize/destroy media,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.3\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.3\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.4,MP,3.8.4,Mark media with CUI markings,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.4\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.4\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.5,MP,3.8.5,Control access during transport,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.5\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.5\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.6,MP,3.8.6,Cryptographic protection on digital media,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.6\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.6\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.7,MP,3.8.7,Control removable media,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.7\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: USB mass storage driver disabled (usbstor.txt) — supports no-removable-media baseline. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.7\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
MP.L2-3.8.8,MP,3.8.8,Prohibit portable storage without owner,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.8\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.8\. Regenerate: Run policy checks + export settings; hash; store
MP.L2-3.8.9,MP,3.8.9,Protect backup CUI,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.9\,Run policy checks + export settings; hash; store,Show: Removable media disabled proof + storage encryption/access controls + sanitization records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\MP.L2-3.8.9\. Regenerate: Run policy checks + export settings; hash; store
PE.L2-3.10.1,PE,3.10.1,Limit physical access,Inherited,Inherited (Evidence Pending),Inherited responsibility boundary documented; provider evidence not yet attached.,Compliance Officer,azure_platform_inherited,provider,Microsoft Azure (physical datacenter/platform),Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.1\,Collect provider attestation snapshot + hash; record mapping,Show: Azure inheritance statement + provider attestations (physical/infrastructure as applicable). Location: Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.1\. Regenerate: Collect provider attestation snapshot + hash; record mapping
PE.L2-3.10.2,PE,3.10.2,Protect and monitor facility,Inherited,Inherited (Evidence Pending),Inherited responsibility boundary documented; provider evidence not yet attached.,Compliance Officer,azure_platform_inherited,provider,Microsoft Azure (physical datacenter/platform),Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.2\,Collect provider attestation snapshot + hash; record mapping,Show: Azure inheritance statement + provider attestations (physical/infrastructure as applicable). Location: Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.2\. Regenerate: Collect provider attestation snapshot + hash; record mapping
PE.L2-3.10.3,PE,3.10.3,Escort and monitor visitors,Inherited,Inherited (Evidence Pending),Inherited responsibility boundary documented; provider evidence not yet attached.,Compliance Officer,azure_platform_inherited,provider,Microsoft Azure (physical datacenter/platform),Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.3\,Collect provider attestation snapshot + hash; record mapping,Show: Azure inheritance statement + provider attestations (physical/infrastructure as applicable). Location: Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.3\. Regenerate: Collect provider attestation snapshot + hash; record mapping
PE.L2-3.10.4,PE,3.10.4,Physical access audit logs,Inherited,Inherited (Evidence Pending),Inherited responsibility boundary documented; provider evidence not yet attached.,Compliance Officer,azure_platform_inherited,provider,Microsoft Azure (physical datacenter/platform),Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.4\,Collect provider attestation snapshot + hash; record mapping,Show: Azure inheritance statement + provider attestations (physical/infrastructure as applicable). Location: Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.4\. Regenerate: Collect provider attestation snapshot + hash; record mapping
PE.L2-3.10.5,PE,3.10.5,Control physical access devices,Inherited,Inherited (Evidence Pending),Inherited responsibility boundary documented; provider evidence not yet attached.,Compliance Officer,azure_platform_inherited,provider,Microsoft Azure (physical datacenter/platform),Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.5\,Collect provider attestation snapshot + hash; record mapping,Show: Azure inheritance statement + provider attestations (physical/infrastructure as applicable). Location: Evidence vault: \EvidenceVault\CUI-Enclave\provider\azure\PE.L2-3.10.5\. Regenerate: Collect provider attestation snapshot + hash; record mapping
PE.L2-3.10.6,PE,3.10.6,Safeguarding at alternate work sites,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for PE 3.10.6. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
