nist_control_id,cmmc_l2_control_id,nist_family_code,nist_family_full_name,control_title,sprs_weight_1_3_5,sprs_family_per_dod_table,control_bin_pure_technical_pure_governance_hybrid_technical_hybrid_governance,is_hybrid_bin_yes_no,likely_na_boundary_questionnaire_yes_no,os_evidence_lane_collect_cui_evidence_v2_yes_no,os_support_level_STRONG_PARTIAL_na,os_evidence_files_pipe_separated,os_collector_note,azure_fedramp_pe_inheritance_lane_3_10_1_to_3_10_5_yes_no,azure_entra_seven_ui_lane_yes_no,cloud_lane_classification,governance_document_emphasis_heavy_or_ssp_reference,operational_register_ids_pipe_separated,operational_register_entries_required_yes_no,operational_register_cadence_hints_semicolon_separated,intelligence_disposition,intelligence_evidence_lanes_pipe,intelligence_cadence_type,intelligence_policy_doc_required_yes_no,intelligence_register_required_yes_no,intelligence_register_schema_id,intelligence_c3pao_examiner_note,intelligence_conmon_trigger,intelligence_na_rationale,validation_profile_codes_V_Z_C_D_E,validation_summary_for_cmm_c_platform,source_notes
3.3.5,AU.L2-3.3.5,AU,Audit and Accountability,"Correlate audit record review, analysis, and reporting processes",5,Audit and Accountability,hybrid_technical,yes,no,yes,PARTIAL,audit/auditpol-subcategories.txt|audit/eventlog-security-sample.txt|audit/eventlog-system-sample.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,audit_log_review|incident_log,yes,audit_log_review=Daily/weekly (per policy) + after alerts; incident_log=Per incident + exercises/tests,partial,OS_collector|Governance_manifest,annual,yes,no,,"Examiner will ask: if your audit process fails, what do you do? Who is notified? What is the timeline? Will verify this is in the IR Plan.",IR Plan not updated to include audit failure scenario,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.6,AU.L2-3.3.6,AU,Audit and Accountability,Provide audit record reduction and report generation,1,Audit and Accountability,hybrid_technical,yes,no,yes,PARTIAL,audit/auditpol.txt|audit/eventlog-security.txt|audit/eventlog-application.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector|Azure_Gov_FedRAMP_or_Entra,continuous,no,no,,Examiner will ask: how do you review audit data? Can you generate a report showing all failed logons in the last 30 days?,Azure Monitor workspace deleted or Defender for Cloud disabled,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.7,AU.L2-3.3.7,AU,Audit and Accountability,Provide system capability that compares and synchronizes internal clocks,1,Audit and Accountability,pure_technical,no,no,yes,STRONG,host/time-sync.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector,continuous,no,no,,Examiner will check that all systems are synced to the same authoritative time source. Time discrepancies between systems undermine audit log correlation.,Time sync service disabled or configured to unapproved source,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.8,AU.L2-3.3.8,AU,Audit and Accountability,Protect audit information and tools from unauthorized access,3,Audit and Accountability,pure_technical,no,no,yes,STRONG,audit/security-evtx-acl.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector,continuous,no,no,,"Examiner will check: who can access, modify, or delete audit logs? Will verify non-admin users cannot clear logs.",Audit log ACL changed to allow standard users to clear logs,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.3.9,AU.L2-3.3.9,AU,Audit and Accountability,Limit management of audit logging to subset of privileged users,1,Audit and Accountability,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/user-rights-assignments.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,audit_config,yes,audit_config=On onboarding new log sources; review quarterly,implemented,OS_collector|Governance_manifest,annual,yes,no,,Examiner will ask: how long do you retain audit logs? Will check both local log size and SIEM/log analytics retention settings.,Log Analytics workspace retention reduced below 1 year,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.1,CM.L2-3.4.1,CM,Configuration Management,Establish and maintain baseline configurations,3,Configuration Management,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/rsop.xml|meta/manifest.json|meta/bundle.json,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,baseline_config|policy_review,yes,baseline_config=Per baseline version + after major changes; policy_review=Annually + after major changes/incidents,implemented,OS_collector,continuous,no,yes,baseline_config,Examiner will ask: what is your baseline configuration? How do you know when a system deviates from it? Will review GPResult output.,GPResult shows new policy applied or existing policy removed,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.2,CM.L2-3.4.2,CM,Configuration Management,Establish and enforce security configuration settings,3,Configuration Management,pure_technical,no,no,yes,STRONG,policy/rsop.xml|policy/gpresult.html|policy/gpresult-computer.txt|policy/gpresult-user.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,baseline_config|policy_review,yes,baseline_config=Per baseline version + after major changes; policy_review=Annually + after major changes/incidents,partial,OS_collector|Governance_manifest,per_event,yes,yes,change_log,Examiner will ask to see the change control log. Will pick a recent change and ask: who approved it? Was a risk assessment done? Was it tested? This is a common finding area.,Baseline drift detected with no corresponding change control record,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.3,CM.L2-3.4.3,CM,Configuration Management,"Track, review, approve, and log changes to systems",1,Configuration Management,hybrid_technical,yes,no,yes,PARTIAL,meta/collector-transcript.txt|meta/manifest.json,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,baseline_config|policy_review,yes,baseline_config=Per baseline version + after major changes; policy_review=Annually + after major changes/incidents,partial,OS_collector|Governance_manifest,per_event,yes,yes,change_log,"Examiner will ask to see the SIA for a recent change. Will verify the SIA was completed BEFORE the change was made, not after.",Change implemented without completed SIA on file,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.4,CM.L2-3.4.4,CM,Configuration Management,Analyze security impact of changes before implementation,1,Configuration Management,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,baseline_config|policy_review,yes,baseline_config=Per baseline version + after major changes; policy_review=Annually + after major changes/incidents,partial,Governance_manifest,monthly,yes,yes,vuln_remediation,Examiner will ask: how do you evaluate Microsoft security patches? Do you review security bulletins? Can you show me the last 3 months of patch review records?,No patch review record for a month or critical patch deferred without documented justification,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.5,CM.L2-3.4.5,CM,Configuration Management,Define and document access restrictions for changes,1,Configuration Management,hybrid_technical,yes,no,yes,PARTIAL,policy/user-rights-assignments.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,change_log|assessment_findings,yes,change_log=Per change request/approval/implementation; assessment_findings=Per assessment + retests,implemented,OS_collector,continuous,no,no,,Examiner will test: can a standard user install software? Modify system settings? Will check AppLocker rules and UAC configuration.,Standard user found with ability to install software or modify system config,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.6,CM.L2-3.4.6,CM,Configuration Management,Employ principle of least functionality,5,Configuration Management,pure_technical,no,no,yes,STRONG,network/listening-ports.txt|host/services-security-relevant.txt|host/installed-software.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,change_log|assessment_findings,yes,change_log=Per change request/approval/implementation; assessment_findings=Per assessment + retests,implemented,OS_collector,continuous,no,yes,baseline_config,Examiner will ask: how do you control what software is installed? Can you show me the approved software list? Will compare against what is actually installed.,New software installed that is not on the authorized software register,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.7,CM.L2-3.4.7,CM,Configuration Management,"Restrict, disable, or prevent the use of nonessential programs",5,Configuration Management,pure_technical,no,no,yes,STRONG,apps/applocker-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,change_log|assessment_findings,yes,change_log=Per change request/approval/implementation; assessment_findings=Per assessment + retests,implemented,OS_collector,continuous,no,no,,Examiner will look at listening ports and ask about any unexpected services. Will check for common unnecessary services like Telnet or FTP.,New service discovered listening on unexpected port,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.8,CM.L2-3.4.8,CM,Configuration Management,Apply deny-by-exception policy for unauthorized software,3,Configuration Management,pure_technical,no,no,yes,STRONG,network/firewall.txt|network/firewall-rules-summary.txt|apps/applocker-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,change_log|assessment_findings,yes,change_log=Per change request/approval/implementation; assessment_findings=Per assessment + retests,implemented,OS_collector,continuous,no,no,,Examiner will check AppLocker is in Enforce mode (not Audit mode). Will test by attempting to run an unauthorized executable.,AppLocker changed from Enforce to Audit mode,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.4.9,CM.L2-3.4.9,CM,Configuration Management,Control and monitor user-installed software,3,Configuration Management,pure_technical,no,no,yes,STRONG,apps/applocker-policy.txt|policy/rsop.xml,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,change_log|assessment_findings,yes,change_log=Per change request/approval/implementation; assessment_findings=Per assessment + retests,implemented,OS_collector,continuous,no,no,,Examiner will attempt to install an unauthorized application as a standard user. Will check UAC prompt behavior.,AppLocker or UAC policy weakened allowing standard user software installation,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.1,IA.L2-3.5.1,IA,Identification and Authentication,"Identify system users, processes, and devices",3,Identification and Authentication,pure_technical,no,no,yes,STRONG,policy/local-accounts.txt|host/whoami-all.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,access_authorization|termination,yes,"access_authorization=Per request + periodic access reviews (e.g., quarterly); termination=Per offboarding event (same-day recommended)",implemented,OS_collector,continuous,no,yes,access_authorization,"Examiner will ask to see the list of all users. Will check for any guest, anonymous, or shared accounts.",Guest account enabled or shared account discovered,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.2,IA.L2-3.5.2,IA,Identification and Authentication,"Authenticate the identities of those users, processes, or devices",3,Identification and Authentication,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/local-accounts.txt|policy/lsa.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,authenticator_mgmt|audit_log_review,yes,authenticator_mgmt=Per issuance/reset/revocation event; audit_log_review=Daily/weekly (per policy) + after alerts,implemented,OS_collector|Azure_Gov_FedRAMP_or_Entra,continuous,no,no,,Examiner will verify local accounts are disabled and all access requires Entra ID authentication.,Local account enabled or Conditional Access policy disabled,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.3,IA.L2-3.5.3,IA,Identification and Authentication,Use multifactor authentication for local and network access to privileged accounts,5,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,policy/local-admins.txt|network/rdp-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,yes,azure_entra_7_only,governance_package_heavy,authenticator_mgmt|audit_log_review,yes,authenticator_mgmt=Per issuance/reset/revocation event; audit_log_review=Daily/weekly (per policy) + after alerts,implemented,OS_collector|Azure_Gov_FedRAMP_or_Entra|Governance_manifest,continuous,yes,yes,authenticator_mgmt,Examiner will test MFA by attempting login without second factor. Will ask to see MFA enrollment for all users. A single user without MFA is a critical finding.,MFA Conditional Access policy disabled or user found without MFA enrollment,,V+Z+D+E,Windows collector + validator (event-driven; schedule per org) · Azure CLI / Entra export (export_azure_evidence.sh; monthly + on change) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.4,IA.L2-3.5.4,IA,Identification and Authentication,Employ replay-resistant authentication mechanisms,3,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,policy/secpol.cfg|policy/lsa.txt|policy/ntlm-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector,continuous,no,no,,Examiner will check NTLMv1 is disabled. Will verify Entra ID is used for primary auth (not NTLM for interactive sessions).,NTLMv1 re-enabled or NTLM authentication allowed for interactive sessions,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.5,IA.L2-3.5.5,IA,Identification and Authentication,Employ identifier management practices to prevent reuse,1,Identification and Authentication,pure_technical,no,no,yes,STRONG,policy/secpol.cfg|policy/local-accounts.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector|Governance_manifest,per_event,yes,yes,access_authorization,Examiner will ask: how do you handle account creation and termination? Will look for terminated employee accounts still active. Stale accounts are a common finding.,Terminated employee account found still active,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.6,IA.L2-3.5.6,IA,Identification and Authentication,Disable identifiers after defined inactivity period,1,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,network/firewall-rules-summary.txt|policy/account-policy.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector|Governance_manifest,annual,yes,no,,"Examiner will check: minimum password length (14+ chars), complexity requirements, history (last 24), maximum age (60 days or less).",Password policy weakened in GPO or Entra ID,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.7,IA.L2-3.5.7,IA,Identification and Authentication,Enforce minimum password complexity and change requirements,1,Identification and Authentication,pure_technical,no,no,yes,STRONG,policy/account-policy.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector,continuous,no,no,,Examiner will verify all complexity parameters. CMMC requires minimum complexity — common finding is max age too long or history too short.,Password complexity GPO weakened or Entra ID policy not aligned with GPO,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.8,IA.L2-3.5.8,IA,Identification and Authentication,Prohibit password reuse for a specified number of generations,1,Identification and Authentication,pure_technical,no,no,yes,STRONG,policy/account-policy.txt|policy/secpol.cfg,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,ssp_reference_primary,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector,continuous,no,no,,Examiner will check the history count. CMMC commonly requires at least 24 generations of history.,Password history reduced in GPO or Entra ID,,V+E,Windows collector + validator (event-driven; schedule per org) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.9,IA.L2-3.5.9,IA,Identification and Authentication,Allow temporary password use with immediate change requirement,1,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,policy/secpol.cfg|policy/local-accounts.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector|Governance_manifest,per_event,yes,no,,"Examiner will ask: when you reset a password for a user, must they change it immediately? Will check GPO for password change at next logon enforcement.",Admin resets password without requiring change at next logon,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.10,IA.L2-3.5.10,IA,Identification and Authentication,Store and transmit only cryptographically-protected passwords,5,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,crypto/fips.txt|policy/lsa.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector,continuous,no,no,,Examiner will check that reversible password encryption is disabled. Will verify LAPS is in use for local admin accounts.,Reversible password encryption enabled or LAPS disabled,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.5.11,IA.L2-3.5.11,IA,Identification and Authentication,Obscure feedback of authentication information,1,Identification and Authentication,hybrid_technical,yes,no,yes,PARTIAL,policy/auth-ux-policy.txt|policy/interactive-logon-notice.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,authenticator_mgmt,yes,authenticator_mgmt=Per issuance/reset/revocation event,implemented,OS_collector|Governance_manifest,annual,yes,no,,Examiner will visually verify password fields show masked characters. This is a simple visual check.,Custom application discovered displaying password in clear text,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.6.1,IR.L2-3.6.1,IR,Incident Response,Establish operational incident-handling capability,5,Incident Response,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,incident_log,yes,incident_log=Per incident + exercises/tests,partial,Governance_manifest,annual,yes,yes,incident_log,Examiner will ask: when was your last incident? What happened? What did you do? Will also ask about tabletop exercises. IRP alone is not enough — you must demonstrate an active capability.,No tabletop exercise conducted in 12 months or incident log is empty when incidents should have occurred,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.6.2,IR.L2-3.6.2,IR,Incident Response,"Track, document, and report incidents",5,Incident Response,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,incident_log,yes,incident_log=Per incident + exercises/tests,partial,Governance_manifest,annual,yes,yes,incident_log,"Examiner will specifically ask: are you registered on DIBNet? Do you have a US-CERT account? If a CUI incident occurred, would you know to report it within 72 hours?",DIBNet account expired or 72-hour reporting timeline not documented in IRP,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.6.3,IR.L2-3.6.3,IR,Incident Response,Test the organizational incident response capability,1,Incident Response,pure_governance,no,no,no,n/a,,Not in enclave OS manifest (37 controls) — use other lanes,no,no,none,governance_package_heavy,incident_log|assessment_findings,yes,incident_log=Per incident + exercises/tests; assessment_findings=Per assessment + retests,partial,Governance_manifest,annual,yes,yes,incident_log,"Examiner will ask for the most recent tabletop exercise documentation. Will review the scenario, who participated, what issues were identified, and what was fixed.",Tabletop exercise not conducted in 12 months,,D+E,Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
3.7.1,MA.L2-3.7.1,MA,Maintenance,Perform maintenance on organizational systems,3,Maintenance,hybrid_technical,yes,no,yes,PARTIAL,host/services-security-relevant.txt|meta/collector-transcript.txt,Collect-Cui-Evidence-v2.ps1 bundle paths; validate_windows_server_hardening.py for OS 73 manifest alignment,no,no,none,governance_package_heavy,maintenance_log,yes,maintenance_log=Per maintenance event,partial,Governance_manifest,per_event,yes,yes,maintenance_log,Examiner will ask to see the maintenance log. Will look for pattern: is maintenance being tracked? Was anyone unauthorized performing maintenance?,Maintenance performed without logging or by unauthorized person,,V+D+E,Windows collector + validator (event-driven; schedule per org) · Policies / procedures / SSP governance (policy_review register) · Operational registers per cadence_hint in cmmc_l2_register_evidence_map,control_bin: control-bins.ts; os: os-evidence-nist-manifest.json; registers: cmmc_l2_register_evidence_map.v1.json; intel: control-intelligence.ts; titles: src/data/cmmc/nist_sp_800_171_control_titles.json + vault lineage
